Title,Year,Mileage/Km,Price,Brand
Honda Vezel Hybrid 1.5A X,2017,83590,57800,Honda
Nissan Serena S-Hybrid 2.0A X,2015,95000,47800,Nissan
Mercedes-Benz E-Class E200,2015,134833,52800,Mercedes-Benz
Mitsubishi Evolution 10 GSR (COE till 08/2028),2008,4000,120800,Mitsubishi
Toyota Vios 1.5A G,2018,70637,68888,Toyota
Renault Grand Scenic Diesel 1.5A dCi Sunroof,2019,73680,99800,Renault
Hyundai Elantra 1.6A GLS S (OPC),2017,66889,62800,Hyundai
Honda CR-V 2.4A Sunroof,2015,92000,41888,Honda
Volkswagen Scirocco 1.4A TSI (COE till 04/2031),2011,147527,81800,Volkswagen
Mazda 2 HB 1.5A Standard,2018,41000,62888,Mazda
Porsche 911 GT3 RS 4.0A PDK,2015,59800,625000,Porsche
Toyota Rush 1.5A X (COE till 06/2029),2009,162450,66800,Toyota
Renault Kadjar Diesel 1.5A dCi,2016,130000,38888,Renault
Mazda CX-9 2.5A Turbo,2018,146000,101888,Mazda
BMW 1 Series 116i Sportline,2022,35800,148888,BMW
Honda Vezel 1.5A X,2017,55218,63800,Honda
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi,2017,160000,67800,Citroen
BMW 2 Series 216i Gran Tourer,2020,63200,143800,BMW
Subaru Forester 2.0A XT Sunroof,2016,116500,51800,Subaru
Porsche Boxster 2.9A PDK (COE till 08/2029),2010,113000,128800,Porsche
Toyota Estima 2.4A X 8-Seater (COE till 09/2028),2008,143000,71800,Toyota
BMW 4 Series 420i Gran Coupe Sunroof,2015,100000,49800,BMW
Mercedes-Benz E-Class E200 Avantgarde,2017,88028,116000,Mercedes-Benz
Audi TT Coupe 2.0A TFSI S-tronic,2019,49076,166100,Audi
Honda Shuttle 1.5A G LED,2018,79110,68800,Honda
Mazda 3 HB Mild Hybrid 1.5A Astina Sunroof,2019,84000,102800,Mazda
Volkswagen Golf 1.4A TSI,2015,110000,34888,Volkswagen
Kia Sorento Diesel 2.2A CRDi Sunroof,2018,73600,99800,Kia
Renault Megane RS 1.8A TCe,2019,55500,141800,Renault
Porsche Macan 2.0A PDK (New 10-yrs COE),2015,65200,230800,Porsche
Mercedes-Benz E-Class E200K (COE till 11/2027),2007,146000,48800,Mercedes-Benz
BMW 1 Series 116d,2016,106000,52800,BMW
Audi A3 Sedan 1.0A TFSI S-tronic,2018,80500,83000,Audi
Renault Captur 1.5A dCi,2015,128000,31800,Renault
Citroen Grand C4 Picasso 1.6A THP Sunroof,2016,98000,49888,Citroen
Honda Shuttle Hybrid 1.5A LED,2019,41042,97800,Honda
Mercedes-Benz A-Class A180 Style,2016,78888,52800,Mercedes-Benz
Bentley Flying Spur 4.0A V8 S Sunroof,2017,37745,380003,Bentley
Infiniti Q60 Coupe 2.0A T,2017,99000,96500,Infiniti
Porsche Panamera G2 3.0A PDK,2018,59500,326800,Porsche
Toyota Corolla Altis 1.6A,2016,60500,50800,Toyota
MINI Cooper S Clubman 2.0A,2016,105500,75800,MINI
Toyota Voxy Hybrid 1.8A ZS,2023,89,225800,Toyota
BMW M2 Coupe,2018,54888,207800,BMW
Mercedes-Benz S-Class S450L Mild Hybrid 4MATIC,2021,13120,409800,Mercedes-Benz
Volkswagen Sharan 2.0A TSI,2018,122976,104500,Volkswagen
Mazda 6 2.0A,2017,69448,61500,Mazda
Audi A3 Sportback 1.0A TFSI S-tronic,2018,81005,80000,Audi
Toyota Prius Plus Hybrid 1.8A,2019,76437,102000,Toyota
Hyundai Avante 1.6A Elite Sunroof,2021,60000,110800,Hyundai
Honda Shuttle 1.5A G,2018,46000,79800,Honda
Volvo S60 T2,2016,105500,48500,Volvo
Kia Stonic 1.0T SX Sunroof,2019,71000,82800,Kia
Mazda 3 Mild Hybrid 1.5A Classic,2021,64088,109800,Mazda
BMW X3 Mild Hybrid xDrive20i M-Sport,2022,15827,246800,BMW
BMW 3 Series 330i M-Sport,2019,44500,178800,BMW
Subaru Forester 2.0A XT Sunroof,2017,112200,65800,Subaru
BMW 2 Series 216i Gran Tourer Luxury,2018,88000,92800,BMW
BMW X2 sDrive18i M-Sport X,2022,10271,190800,BMW
Renault Megane GT 1.6A TCe,2019,71000,98800,Renault
Mazda 5 2.0A SP Sunroof,2017,113094,60800,Mazda
Honda Freed Hybrid 1.5A G Honda Sensing,2018,49000,97800,Honda
Toyota Sienta 1.5A Standard,2021,30601,123500,Toyota
BMW 2 Series 216i Gran Tourer,2017,82690,80700,BMW
Honda Civic 1.6A VTi,2016,85000,56800,Honda
Skoda Octavia 1.4A TSI Ambition Plus,2020,56000,99500,Skoda
Volkswagen Golf GTI 5DR Sunroof (COE till 11/2028),2009,182000,67800,Volkswagen
Renault Clio Diesel 1.5A dCi,2015,110500,27800,Renault
BMW X1 sDrive20i,2016,122000,70000,BMW
Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,2015,90500,40888,Audi
